team,goals_for,goals_for_std,goals_against,goals_against_std,xg_for,xg_for_std,xg_against,xg_against_std,shots_for,shots_for_std,shots_against,shots_against_std,sot_for,sot_for_std,sot_against,sot_against_std,possession,possession_std,final_third_entries,final_third_entries_std,box_entries,box_entries_std,high_recoveries,high_recoveries_std,dangerous_turnovers,dangerous_turnovers_std,transition_attacks_for,transition_attacks_for_std,transition_attacks_against,transition_attacks_against_std,field_tilt,field_tilt_std,ppda,ppda_std,current_wc_xg_for,current_wc_xg_against,prep_xg_for,prep_xg_against,shot_quality
Spain,2.0564,0.7183,0.3852,0.4867,1.8509,0.4236,0.7197,0.238,14.4085,2.0004,7.1625,1.7979,5.5188,1.1349,2.4571,1.1155,63.1819,3.5974,55.4447,6.0149,25.5385,4.1089,10.1844,1.5826,5.9289,1.4811,3.8828,0.824,3.7772,1.4133,64.0239,5.5464,8.4236,0.8843,1.935,0.6388,1.4357,1.1188,0.1285
Portugal,1.9306,0.6906,1.019,0.5633,1.6339,0.2756,1.1004,0.288,13.3024,1.9167,10.2644,2.4984,5.286,1.0806,4.0175,1.2892,54.7469,4.2574,44.2858,4.9141,20.3823,2.6451,6.9091,0.9874,8.0984,1.4314,7.9306,0.6906,5.454,1.8478,51.7774,5.3177,10.9864,0.94,1.6894,0.9993,1.3643,1.5916,0.1228
